GSM311598	GSM311599	GSM311600	GSM311601	GSM311602	GSM311603	GSM311604	GSM311605	GSM311606	GSM311607	GSM311608	GSM311609	GSM311610	GSM311611	GSM311612	GSM311613	GSM311614	GSM311615	GSM311616	GSM311617	GSM311618	GSM311619	GSM311620	GSM311621	GSM311622	GSM311623	GSM311624	GSM311625	GSM311626	GSM311627	GSM311628	GSM311629	GSM311630	GSM311631	GSM311632	GSM311633	GSM311634	GSM311635	GSM311636	GSM311637	GSM311638	GSM311639	GSM311640	GSM311641	GSM311642	GSM311643	GSM311644	GSM311645	GSM311646	GSM311647	GSM311648	GSM311649	GSM311650	GSM311651	GSM311652	GSM311653	GSM311654	GSM311655	GSM311656	GSM311657	GSM311658	GSM311659	GSM311660	GSM311661	GSM311662	GSM311663	GSM311664	GSM311665	GSM311666	GSM311667	GSM311668	GSM311669	GSM311670	GSM311671	GSM311672	GSM311673	GSM311674	GSM311675	GSM311676	GSM311677	GSM311678	GSM311679	GSM311680	GSM311681	GSM311682	GSM311683	GSM311684	GSM311685	GSM311686	GSM311687	GSM311688	GSM311689	GSM311690	GSM311691	GSM311692	GSM311693	GSM311694	GSM311695	GSM311696	GSM311697	GSM311698	GSM311699	GSM311700	GSM311701	GSM311702	GSM311703	GSM311704	GSM311705	GSM311706	GSM311707	GSM311708	GSM311709	GSM311710	GSM311711	GSM311712	GSM311713	GSM311714	GSM311715	GSM311716	GSM311717	GSM311718	GSM311719	GSM311720	GSM311721	GSM311722	GSM311723	GSM311724	GSM311725	GSM311726	GSM311727	GSM311728	GSM311729	GSM311730	GSM311731	GSM311732	GSM311733	GSM311734	GSM311735	GSM311736	GSM311737	GSM311738	GSM311739	GSM311740	GSM311741	GSM311742	GSM311743	GSM311744	GSM311745	GSM311746	GSM311747	GSM311748	GSM311749	GSM311750	GSM311751	GSM311752	GSM311753	GSM311754	GSM311755	GSM311756	GSM311757	GSM311758	GSM311759	GSM311760
ENO3	7.891163	7.728156	7.944024	7.811662	7.863865	7.691817	8.247684	8.024914	8.002995	8.060986	8.28746	8.134834	7.978807	7.792829	7.81497	7.947573	8.120906	8.479024	8.108003	8.080599	8.069574	8.257108	8.652406	8.427939	8.288123	8.336432	7.804466	8.077969	8.351044	7.717466	8.026129	8.521015	7.659405	8.166066	8.070127	8.536022	8.123692	7.79295	8.032444	8.032063	7.844232	8.283241	8.154814	8.120855	8.432283	7.934423	7.80796	8.312374	8.108467	7.791864	8.235201	8.160676	8.200005	8.086142	8.132138	8.017756	8.235279	8.275755	8.151522	8.254926	7.999758	8.099929	7.78977	8.038685	8.231327	8.231544	7.851713	7.761826	8.298795	8.121164	8.091853	8.206119	8.030567	7.775782	8.258995	8.027086	8.153872	7.949229	8.109259	8.301714	8.456707	8.225808	8.208231	7.717749	8.073237	7.93704	8.219641	7.891733	8.044198	8.205992	8.449517	7.852673	7.8812	8.25506	8.235934	9.074475	8.01511	7.731077	7.984526	8.442844	8.074675	7.839337	7.900757	8.061612	8.258588	8.298536	8.328617	8.132756	7.986375	8.048657	8.063147	8.101709	7.785133	8.152749	8.071299	8.131741	8.091305	7.824541	8.175578	7.917835	7.879403	7.852915	8.123713	7.898471	7.698957	7.621479	8.225002	8.223727	8.509404	8.081148	8.161364	8.206196	8.691961	8.244691	8.236795	7.972426	8.174108	8.250723	8.067778	8.166655	8.124088	8.217183	8.290117	7.974499	8.348984	8.028126	8.023866	8.173978	7.975563	8.005931	8.124431	7.875981	8.343621	7.990429	8.060542	8.101485	7.963442	8.073753	8.248781	8.341163	7.90397	8.288432	7.743898
ETFB	9.080153	9.390771	9.908085	9.876692	9.899652	9.347986	9.850906	10.517835	10.270128	10.218645	10.111598	10.025934	9.277361	10.645091	10.155281	9.851051	10.596666	9.189544	10.055822	9.820333	9.868671	10.236844	10.213202	10.262251	10.797075	10.521163	9.074624	9.811081	10.00013	8.34352	9.679055	9.572639	9.507992	10.121341	10.118343	10.502628	10.526752	10.252337	9.860106	10.479919	9.759487	10.106524	10.19037	10.482381	10.137032	9.555077	9.677334	10.018805	10.076014	9.375851	10.042735	10.287134	9.963103	10.568491	9.965873	9.571221	10.375448	9.764106	9.859449	10.249301	9.673906	10.65386	8.699959	10.411913	10.794483	10.336791	9.483174	9.534689	10.243756	9.773797	9.148334	9.954661	10.223968	8.913754	10.714792	9.235347	8.689968	9.21465	9.386431	9.63782	9.467188	9.590277	10.372661	9.03399	9.362908	10.156075	10.776709	9.444735	10.40325	10.146447	9.9421	9.634592	9.272865	10.669069	9.879716	9.775152	10.290006	9.357257	9.705484	10.118257	10.697158	9.686782	8.862425	10.613508	10.653321	10.700669	9.922254	10.649843	8.90613	9.223969	10.262498	10.234033	9.565893	10.387321	9.545927	9.645305	10.041698	9.079233	10.06865	9.879922	8.837081	8.961062	9.924533	10.364575	9.229551	8.818552	10.752467	9.176247	10.252311	10.040406	9.7608	9.28984	10.064792	9.576044	9.720189	10.178081	9.949097	10.180455	10.334524	9.591774	9.309381	9.686609	9.935055	9.750206	9.860847	9.769418	10.134886	9.952689	9.041989	9.286693	9.890045	8.888518	10.114041	9.63534	9.130821	10.301257	10.38885	10.058188	10.373806	9.854852	10.332404	10.056087	9.394216
F3	9.122292	8.046253	8.016266	9.431145	7.986777	8.215318	8.385328	9.153248	8.007458	8.816396	8.444555	8.612224	10.280089	8.103513	8.483741	8.264067	8.452455	7.807763	9.59352	10.265014	8.286739	8.007391	9.844056	7.894189	7.992343	8.103854	8.48673	8.757993	8.791366	7.977697	8.304488	7.994579	8.222852	8.53404	8.361311	8.382881	7.933649	8.3436	8.785045	8.686119	7.94407	8.241768	8.015081	7.689122	8.350485	8.950785	10.371042	7.905833	8.177182	8.486047	7.67668	8.001465	8.625548	7.931826	8.028745	9.17215	8.454335	8.45066	8.100826	8.802793	8.718785	8.333273	8.116273	7.906267	7.679924	9.655977	8.052278	8.615061	8.023102	8.302327	8.719704	8.724629	8.294254	8.812152	7.980429	8.823114	8.449862	8.025061	8.381823	7.818123	8.6866	8.354094	8.156717	8.265356	7.872593	8.680246	8.579298	7.778749	8.301292	8.107109	9.071152	8.851326	8.128559	9.340173	8.396543	7.625981	8.539394	10.770107	9.036032	9.208599	8.676864	8.016664	7.852863	10.016197	8.302085	8.499305	9.021846	8.651989	8.157793	8.025525	7.959707	8.946877	8.484906	8.710933	8.649909	8.195611	9.052145	8.514583	8.600229	8.12398	8.036382	8.944168	7.560945	10.22432	8.395755	8.45385	8.353174	8.900704	8.513415	8.258116	9.363989	8.652519	7.930183	8.944498	8.311561	8.264354	8.362809	8.215127	8.53877	8.262108	7.798945	8.136402	8.077893	8.417411	7.947504	9.225505	8.69875	8.30904	8.719324	8.097872	8.301631	8.19441	8.498904	8.192398	8.200399	8.675706	8.223657	8.177584	7.938447	8.07596	7.831211	7.620309	7.852093
FDXR	7.624645	7.821603	7.775814	7.862264	7.845756	8.190694	7.911622	9.262222	8.115857	8.237351	8.586586	7.923258	7.700824	8.356191	8.255016	8.088657	8.589895	7.835603	8.286274	7.815728	7.919012	8.012797	8.389982	7.936895	8.018541	8.266823	7.992237	7.906649	8.279536	7.239884	7.884467	7.970579	8.416255	8.00328	8.279861	8.141055	8.609684	8.098505	7.844089	8.551712	8.051872	7.940955	8.187393	8.050202	8.496529	7.589486	7.635864	7.939487	8.231194	8.31189	8.530607	8.07233	7.908206	8.193424	8.221748	7.712163	8.050625	7.868852	8.501952	8.012919	7.841049	8.211444	7.670011	8.556593	8.395316	8.155003	7.988136	7.735637	8.123388	8.032267	7.79894	7.89275	7.843712	7.574338	8.038991	7.950931	7.57411	7.822426	7.791712	7.567936	8.509389	7.961068	8.044491	7.579141	7.994294	8.563029	8.087058	7.876073	8.027183	8.368281	8.097165	8.109474	7.819079	8.46713	8.059172	8.697771	8.535353	7.685216	7.896343	8.365932	8.296247	7.97769	7.451187	8.511223	8.728114	8.306338	8.17466	8.243298	7.746539	7.644331	8.395128	8.489559	7.608305	8.832998	7.747697	7.481184	7.701926	7.49952	8.154302	7.79745	8.197893	7.766483	8.224288	7.95406	7.641901	7.833143	8.045188	7.57864	8.200034	8.163801	8.129976	7.756568	8.485684	8.267306	8.329796	8.120904	8.223563	8.410839	8.363545	7.91442	8.064505	7.937463	8.023049	8.377252	7.929735	8.033627	8.22683	8.347237	7.631178	7.571932	7.953376	7.797716	8.233454	8.29404	7.871161	8.287344	8.51773	8.024862	7.731113	8.374952	8.764425	8.047951	7.94234
FGFR1	8.523708	8.560573	8.470526	8.667024	8.468228	8.459054	8.515914	8.514317	8.428984	8.310348	8.429037	8.681925	8.9242	8.465966	8.462158	8.491218	8.487695	8.874952	8.589702	8.718864	8.536943	8.718053	8.506172	8.581724	8.586287	8.718221	8.743459	8.931113	8.471189	8.682633	8.642354	8.677495	8.595059	8.347746	8.332192	8.566951	8.570196	8.698598	8.57227	8.468865	8.752419	8.624625	8.435262	8.629248	8.317466	8.506498	8.616144	8.668207	8.384476	8.618783	8.626783	8.419167	8.522575	8.50155	8.370606	8.54659	8.617298	8.523903	8.889798	8.501471	8.543566	8.560697	8.728665	8.362792	8.406382	8.444347	8.654522	8.85624	8.534364	8.688155	8.686642	8.544593	8.428094	8.669462	8.45461	8.748132	8.602855	8.775165	8.521239	8.655908	8.338125	8.554079	8.394964	8.567927	8.55364	8.566366	8.388177	8.503091	8.687017	8.597808	9.039202	8.670918	8.730104	8.406619	8.895099	8.576303	8.272525	8.490661	8.510885	8.538703	8.461009	8.582749	8.455472	8.502256	8.302026	8.494376	8.481727	8.481344	8.649383	8.651461	8.534368	8.522759	8.668432	8.607436	8.878251	8.969507	8.597844	8.357843	8.561309	8.552775	8.357997	8.523302	8.637172	8.38443	8.522877	8.529362	8.359158	8.578253	8.475337	8.40844	8.382745	8.49652	8.580804	8.432993	8.811163	8.39602	8.570963	8.538411	8.481702	8.645645	8.68122	8.624095	8.502982	8.657428	8.463453	8.410041	8.589923	8.707615	8.867269	8.620757	8.404307	8.576927	8.522568	8.473392	8.721878	8.476517	8.428389	8.562096	8.637371	8.474836	8.464303	8.589601	8.518685
FSTL1	8.466598	9.372992	8.21683	8.374693	8.963689	8.152418	8.875965	8.577729	8.646941	8.903702	8.208741	8.876793	8.093309	8.389331	8.224847	8.501932	8.92182	9.077294	8.507762	10.251339	8.464689	8.282674	9.312857	9.570574	8.854037	9.588483	9.093673	9.378833	9.452078	8.398623	9.013837	8.487126	8.255959	8.193163	8.177177	8.292849	8.560174	10.677897	10.159215	9.303382	8.635275	9.626007	8.590064	8.08673	8.435598	8.928979	8.34245	9.574976	8.507943	8.246771	8.1784	8.447501	8.422309	9.713329	9.238325	8.617693	8.150215	8.288603	10.080417	9.855854	8.256843	8.426463	8.419892	7.875116	7.920825	8.460889	8.872652	8.67555	8.301983	9.491256	8.128332	8.306492	7.955425	8.559434	8.261046	8.058662	8.472685	8.43399	8.847145	8.279353	8.454899	9.12751	8.369223	8.718505	8.534641	8.761622	8.184602	8.225132	8.80016	9.091261	10.215303	9.044007	8.853277	8.172796	8.96107	8.098706	8.747662	8.1748	10.450117	10.145883	9.551	8.775942	8.502741	9.059745	8.127524	9.611613	8.316602	7.947885	8.40316	9.211704	7.998044	8.860991	8.816321	8.361053	8.143948	9.302292	8.059078	8.549386	9.356734	8.154342	8.363279	8.073736	8.894631	8.029696	8.686937	8.282431	8.068763	7.972094	8.122945	8.124275	8.900656	8.268783	9.277182	8.373609	9.104845	8.42739	8.294178	8.69912	8.371443	8.995128	8.446362	7.922174	8.244697	8.926566	8.586863	8.529916	8.173213	8.404298	8.07687	8.504283	8.356033	8.487782	8.016082	8.688095	9.321962	8.032882	8.087227	8.553063	8.472723	8.345481	9.591055	8.259371	9.385394
FZD6	7.354576	7.809501	6.957703	7.44847	8.068729	6.71296	6.908781	6.723279	6.97079	6.658462	6.8285	7.23212	6.938153	6.713669	6.894549	7.202637	7.146287	7.079739	6.624595	6.443463	7.259648	8.81488	6.379935	7.538028	6.332386	6.711497	7.551326	6.806298	6.433217	7.380092	8.461689	7.174322	6.816897	7.537489	6.657099	6.625094	7.623165	7.642852	6.740996	6.601897	6.799493	7.680136	6.686189	9.503758	6.833259	6.844576	6.759196	8.418276	6.709866	6.884489	7.119205	6.353585	7.620713	7.877935	6.477183	6.779478	6.363685	6.40708	7.532607	6.477838	6.430724	6.901776	7.866011	6.627219	6.521949	6.589315	7.069513	6.943604	6.683783	6.6304	6.864694	6.652908	7.091968	7.998643	6.531215	6.685524	7.138547	7.751266	7.780063	7.572161	6.494637	7.173617	6.930982	7.226591	6.825782	6.543819	8.783592	7.236592	7.071685	6.700288	6.72706	6.718565	6.815159	7.799342	6.952098	8.173298	7.559913	6.530404	7.045325	7.679889	7.300582	6.762482	7.068341	6.975639	7.162732	7.466062	7.125661	6.82777	6.757376	7.188466	6.996792	8.381431	9.068801	6.968157	6.938192	6.862191	6.649218	7.31005	7.412877	7.586633	7.459181	6.601116	6.650298	6.679242	7.404695	7.769076	8.392076	7.555761	6.558226	6.47587	6.707245	6.416871	6.635738	6.622899	7.107171	6.677794	8.080145	6.662687	6.28306	6.768007	7.553041	7.89042	6.535776	6.948324	9.020483	6.82993	6.546443	6.513077	8.494315	6.596773	6.910807	7.104334	6.879806	6.590421	7.51033	6.538905	7.387754	7.052858	6.471915	6.462256	7.118907	6.534561	8.763364
HEATR6	8.223039	8.395	8.228778	8.69199	8.340035	8.105598	8.438376	8.590296	8.455797	8.571221	8.423526	8.538272	8.283687	8.408425	8.415532	8.599252	8.502645	8.198298	8.454411	8.663447	8.822796	8.261897	8.514974	8.515495	8.790847	8.495999	8.041826	8.380542	8.093554	8.171405	8.212002	8.50115	8.125899	8.430834	8.763939	8.371745	8.452266	8.184721	8.480255	8.548963	8.223306	8.662676	8.024056	9.175763	8.482581	8.986979	8.157612	8.412939	8.641141	8.892012	8.329357	8.402952	8.959955	8.559332	8.438526	8.580241	8.567908	8.320648	8.113968	8.814128	8.481854	8.351327	8.322375	8.82866	8.469311	8.575291	8.242358	8.008382	8.537033	7.977943	8.4864	8.767147	8.392903	8.105665	8.792317	9.037824	8.514881	8.418662	8.347392	8.148901	8.834698	8.355982	8.919475	8.169302	8.207024	8.150221	9.607851	8.062252	8.069233	8.382766	8.167466	8.469282	8.235028	8.864125	8.223638	8.856004	8.793365	8.115723	8.583436	8.996671	8.87339	8.513156	8.230509	8.92828	8.645427	8.478785	8.399675	8.549391	8.297544	8.363327	8.256001	8.532843	8.257572	8.248049	8.796731	8.458239	8.783716	8.380837	8.646637	8.317508	8.161765	8.182857	8.252166	8.737326	8.131957	8.257051	9.238478	8.5863	8.157137	8.610375	8.375535	8.451684	8.782013	9.272606	8.240097	8.328808	9.045277	9.043677	8.438157	8.733681	8.190544	8.546814	8.957777	8.5168	8.438031	8.631864	9.115769	8.609449	8.952532	8.276594	8.621658	8.096771	8.741327	8.283217	8.234118	8.396156	8.384344	8.60847	8.28188	8.426747	8.111082	8.345737	8.358635
IGLL1	7.966502	8.357767	8.421273	7.793044	9.02911	7.529245	10.476709	9.820964	11.693227	7.497483	9.693946	8.270872	7.016351	8.22447	8.228381	7.993641	10.381482	9.898843	9.702451	8.906831	8.761963	12.654929	9.517801	8.005437	8.333068	8.560975	8.77158	10.01036	10.734273	7.641508	7.09256	9.726364	8.720735	11.009326	10.587731	9.154281	12.731262	7.624163	7.440661	10.040338	9.796901	11.688791	9.228128	12.386489	9.418802	7.303274	7.154286	9.160618	11.028266	7.461697	12.218993	8.472805	7.343618	7.804464	8.548965	7.887909	9.46558	9.02694	8.519605	9.862561	9.196478	10.92456	7.540043	11.307601	7.361931	12.398472	8.869855	10.105227	10.807093	8.59047	7.430105	11.536737	8.920099	8.55875	9.416268	8.360552	8.771962	8.36601	7.500929	10.098622	12.014973	9.332448	10.724129	7.483535	8.950367	7.500058	10.575124	8.45165	9.808295	11.355657	7.786821	9.964075	7.401156	9.104518	10.658604	10.524508	9.557594	6.953432	9.59873	9.575955	9.978586	9.923305	7.793507	10.724302	8.659992	9.957442	7.510351	11.001446	9.072178	8.884593	12.079698	11.448145	8.102787	9.633597	7.804562	8.062438	8.881573	8.274999	7.410323	11.347213	7.440426	7.228507	9.384332	9.154819	8.144136	9.918493	10.087541	8.256371	6.871828	8.32102	9.070922	9.102623	10.785038	9.191172	7.139204	7.211395	10.383911	11.091641	7.554094	8.95555	11.157842	9.113896	10.21339	11.179549	10.756144	8.319846	7.763909	9.094569	8.918619	7.133583	8.394635	10.69934	9.980948	7.631937	7.220045	7.96567	8.735944	8.917989	9.198321	8.549716	8.703617	8.299449	11.799677
IKBKG	9.402658	9.886608	9.615369	10.13652	9.997145	9.72037	9.954189	10.026503	9.917881	10.141491	9.972243	9.845886	10.146453	10.231278	10.404276	10.093768	10.004471	9.624589	9.888589	9.792693	9.952442	9.92343	9.806641	9.97381	10.276233	10.327063	9.656454	9.664562	9.99194	9.540112	9.882968	9.828913	10.051235	10.101876	10.293714	9.843754	10.0589	9.749724	9.934525	9.970949	9.948575	9.768193	9.968485	10.01622	10.073248	9.860264	9.944953	9.907687	9.964479	9.988235	10.104555	10.118556	9.875002	9.877922	10.220116	9.84769	10.089936	9.870854	10.033208	9.832699	9.821914	9.947325	9.746128	10.068328	10.040911	9.850491	9.936618	9.790052	9.840274	9.87282	9.935376	9.906315	9.913156	10.050801	9.90311	9.916424	9.672592	9.995622	9.827029	9.716762	9.747264	9.905811	9.962297	9.694487	9.810968	9.902134	10.084637	9.952245	9.767911	9.799717	9.914769	9.785182	10.033295	10.05235	9.859184	9.725229	9.968891	9.967087	9.820008	10.080377	10.083908	9.764101	9.973732	9.905013	9.931269	10.12705	10.241621	9.961116	9.809488	9.715787	9.850782	9.821752	10.179121	9.987336	10.196141	10.195817	10.099671	9.780923	9.865897	10.073589	9.783353	9.88997	9.92011	9.815316	9.773693	9.746466	9.924343	9.632965	10.272162	10.168298	10.03104	9.852344	9.829925	9.859644	10.015983	10.000598	9.902756	9.833317	10.102401	10.117996	9.888814	9.935683	9.87881	9.794882	9.916974	10.221716	10.385128	9.983481	10.026843	10.121692	10.126971	9.857936	10.058142	9.97174	9.693043	9.894901	10.03398	10.229614	9.862815	9.941265	9.851625	10.135868	9.860213
IL18	7.579878	8.855352	9.93509	9.697191	8.494716	8.716063	9.187607	9.091614	10.109155	8.094049	8.54212	9.133285	8.383037	8.945276	8.844386	8.513277	8.969595	7.056955	9.989937	8.665344	9.270632	9.821983	8.550247	10.07082	8.45946	9.099603	7.960365	9.500264	7.520688	7.862975	8.355161	8.791272	9.16656	9.114743	9.232288	9.300928	9.519417	9.081945	8.031373	8.755738	9.099917	10.034838	8.151097	7.048633	8.125197	8.735317	7.865068	9.625635	9.162415	8.59854	9.827653	8.32091	9.658806	10.315261	8.92142	8.111685	8.97377	9.012848	9.560642	9.168315	8.766863	9.471157	7.459303	10.17803	8.635247	9.36121	8.443901	8.667795	10.116886	9.079483	8.109345	9.165843	9.390904	8.132384	9.006741	8.248201	7.559779	8.715596	9.013749	8.834535	9.059361	7.794374	10.167063	7.253909	8.254688	7.933974	10.304258	8.219404	8.888346	8.11877	8.15318	8.676858	7.286247	9.628517	8.38153	9.986225	8.780995	8.313595	9.168511	9.247122	10.236393	9.828589	7.966128	10.042455	8.969117	9.587199	8.216305	9.427847	8.43138	8.394812	9.180215	9.646437	8.555136	9.311647	9.623554	7.749885	10.529061	7.979713	8.746576	9.431481	7.897825	7.74467	9.234759	9.944464	9.103476	8.017031	9.82094	9.251622	7.597217	8.07448	8.323065	8.366252	9.932204	8.307392	9.012182	7.55	8.698798	9.75924	9.18886	8.753059	8.994194	10.149277	9.283822	9.664411	9.586177	8.559451	8.847151	9.093333	9.25118	7.581123	9.045542	8.238651	9.114725	8.583138	7.703413	9.240323	9.670627	9.30009	9.405909	9.205552	7.939766	9.221245	9.335072
ISG15	9.033147	9.849974	9.117524	12.590342	9.110062	9.365364	10.339878	10.202106	9.960523	10.184213	9.570071	9.875162	10.456326	10.362961	10.93435	10.028127	10.830876	8.756294	10.195742	9.841103	10.063011	9.906498	9.816485	10.205971	10.070364	10.22868	8.316663	9.127009	12.768518	8.345216	9.154926	9.426308	9.556058	10.092608	10.577128	9.834791	10.440184	11.062256	9.733356	10.643899	10.582085	10.285674	9.97325	10.622301	9.985128	9.367871	10.025471	9.923819	10.384346	9.198569	9.683653	9.571957	9.652351	10.506195	10.485279	9.303826	10.956649	11.985581	10.632096	8.919311	9.811877	11.907485	8.563213	9.587199	9.77763	9.606356	9.90155	9.994082	9.854304	11.236148	9.225246	9.904131	9.968042	9.837867	10.211713	11.012308	11.404584	9.276386	8.875902	9.450443	10.081085	9.945659	9.25978	8.648794	9.446902	9.376612	10.363573	9.508461	9.342254	9.686184	9.987171	9.502807	11.424836	9.94248	10.117312	9.66087	10.038084	12.871179	9.791667	11.12621	10.406182	10.037325	9.665769	10.273265	9.828078	9.674116	9.934094	10.500027	9.687425	9.363541	9.439401	9.70213	9.358646	10.566827	9.5179	9.106903	9.242033	9.027355	9.644416	9.281474	9.378167	9.637145	9.39048	9.615181	9.432782	9.163239	9.663901	10.36955	9.947233	11.64263	9.840009	9.472123	9.61817	12.491242	10.641441	10.694133	9.868591	9.57086	11.378576	9.339442	9.040983	8.915814	9.664001	10.42206	11.875852	12.863433	12.658985	10.166168	9.440049	8.457108	10.140545	8.915776	12.414137	10.040418	8.901486	11.670761	11.251522	10.263473	10.436395	9.740412	9.55797	10.688899	9.246179
LAPTM4B	8.940421	11.049353	10.109049	9.516967	10.341281	8.479232	12.657087	10.392813	11.644742	8.895686	10.009937	10.432007	8.431646	9.712835	8.631805	9.528312	11.53576	10.032904	11.483212	10.281198	11.159926	8.775646	11.903538	10.70987	8.014846	10.157645	10.311213	8.353351	9.548212	8.860372	9.648966	11.101925	10.06407	11.22339	8.947924	9.382438	10.332978	10.361506	8.684214	9.497015	10.502452	11.331776	8.998971	9.222565	9.632854	11.647867	8.520321	11.044179	10.009518	9.674215	8.975173	9.136292	12.611991	11.488904	9.202663	9.003814	9.543453	9.054515	9.748473	10.598756	9.344467	10.967103	8.885485	11.550967	8.783425	12.615083	9.886758	9.366856	12.040797	9.136142	8.956029	11.754662	9.38883	8.736068	13.394536	9.272822	8.140301	9.666207	9.334585	9.701208	12.342462	10.402123	12.295992	8.628131	9.089397	8.259592	12.735974	8.950977	10.248099	10.168036	8.673997	10.401792	9.454759	11.971327	10.196588	7.80257	13.201908	9.233378	11.487583	12.107509	10.145432	8.725612	9.040247	13.36887	10.464053	11.717094	9.105	12.586154	9.336815	9.844739	8.282141	11.896163	9.774384	9.799482	10.037522	8.032317	9.656228	9.663702	10.320622	8.409424	9.189662	8.437311	9.510137	10.711642	9.232162	8.986348	12.574903	11.622419	8.039281	10.134653	9.551753	8.168681	10.511536	10.584981	8.650018	8.385588	10.048961	12.177777	8.89298	8.698245	8.748493	10.191251	8.811329	9.639618	10.597664	8.877167	8.055879	10.397999	9.512611	9.311511	9.430911	8.681966	10.938389	9.179975	8.91871	8.739547	10.423139	8.34233	12.122694	10.229612	9.140681	8.408186	8.302188
MAP7	8.401612	8.510576	9.012684	8.294706	9.42727	8.021127	9.477839	9.159151	9.625381	8.057616	8.795929	8.184753	9.059153	8.47059	8.221344	8.262115	9.323459	8.856653	9.154967	8.654914	9.694192	8.477625	9.058755	9.788879	9.25135	9.008887	8.327195	9.020926	8.526012	8.189198	7.888469	9.122808	8.324336	9.777588	8.839957	8.857654	9.235415	8.580888	8.403475	8.609318	8.456064	9.665283	8.444316	8.088893	8.672291	9.220321	7.947475	8.551627	9.89316	8.430909	8.590828	8.716562	9.387005	9.344512	8.200573	9.279082	8.977704	8.129478	8.26433	9.455496	9.851641	9.636969	8.797106	9.662119	7.832243	10.063197	8.588259	8.387335	9.695636	7.817488	8.528253	8.630715	9.067698	7.981691	9.450048	8.828557	8.280402	7.859135	9.599398	8.840196	9.510647	8.733213	9.975505	7.856289	8.410876	7.736908	10.630042	8.482156	9.203013	9.120682	8.118227	9.01994	8.843144	9.943223	8.23863	9.190341	9.692748	7.652281	9.610728	9.146479	9.702472	9.362715	8.030253	9.094057	10.161597	9.984851	8.395303	10.177527	8.062809	8.58208	8.955175	9.242848	7.920897	9.189931	8.758454	8.378359	9.918394	9.112747	8.75539	8.831167	8.301007	7.868602	8.420043	9.652396	8.660655	7.811902	10.533473	8.329419	8.052593	8.143916	9.269981	8.395354	10.099442	9.93879	7.923823	7.905256	8.57251	9.834659	8.157234	8.10991	8.355138	9.099487	9.280964	9.198473	9.125574	8.421231	8.223463	8.239474	9.05346	8.309853	8.902152	8.043292	9.073033	8.542319	8.318286	8.957263	9.761427	9.596769	8.857966	8.423632	8.681962	8.544345	8.602537
MMP7	7.367668	7.498148	7.44844	7.694477	7.115377	7.461385	7.296399	7.036127	7.157174	7.373779	7.413377	7.40038	7.238756	7.302268	7.139268	7.324498	7.173282	7.567421	7.05838	7.292693	7.404151	7.171298	7.386469	7.107971	7.187523	7.851308	7.202505	8.65013	7.113774	7.504723	7.245558	7.441815	7.308222	7.319549	7.27281	7.282774	7.554627	7.541361	7.316395	7.179266	7.133176	7.03107	7.244555	7.04255	7.301928	7.133876	7.469728	7.400083	7.219748	7.42863	7.432861	7.340953	7.494951	7.20069	7.221858	7.407567	7.196784	7.270821	7.30517	7.522921	7.337862	7.4373	7.418155	7.338891	7.398202	7.220624	7.361166	7.358635	7.464673	7.299282	7.204285	7.751285	7.609163	7.844402	7.345097	7.249004	7.488882	7.226764	7.396511	7.461194	7.116841	7.324015	7.290998	7.461046	7.238823	7.392651	7.304413	7.484191	7.4993	7.386309	7.238982	7.22815	7.294555	7.355401	7.554324	7.161068	7.186375	7.295249	7.260368	7.277934	7.416967	7.491041	7.439114	7.603734	7.28712	7.439749	7.129067	7.254072	7.771384	7.463868	7.562142	7.329279	7.284622	7.188909	7.663477	7.209882	7.206052	7.362406	7.369607	7.22551	7.464185	7.43245	7.338199	7.213372	7.656647	7.542007	7.798212	7.510167	7.591412	7.209857	7.258912	7.509648	7.478211	7.008518	7.502431	7.411483	7.344809	7.318042	8.033424	7.345551	7.454267	7.256527	7.316212	7.470573	7.179174	7.305949	7.862329	7.044582	7.463191	7.152529	7.20713	7.583394	7.409865	7.274154	7.634891	10.49559	7.149809	7.585261	7.30618	7.224853	7.270482	7.649814	7.420765
